שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אטה,41,..,5,5,..,..,.,..,.,.,.,.,..,.,..,.,..,.,..,.,..,..,.,.,..,.,.,.,.,.,..,.,.,.,.,..,.,.,.,..,.,.,.,.,..,.,..,..,.,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,.,.
אטי,303,..,..,8,5,12,5,7,8,7,5,7,9,13,13,12,10,17,14,10,17,9,11,9,8,5,6,8,6,..,6,..,..,..,.,.,.,..,..,.,..,..,..,..,..,..,.,.,.,.,..,..,..,..,.,.,.,.,..,.,.,..,.,.,..,..,..,..,..,..,.,.,.,.,..
אטל,194,..,..,.,5,..,10,5,..,..,..,..,..,..,..,..,..,.,..,..,..,.,..,..,.,5,..,..,.,6,..,6,..,..,..,.,..,..,..,..,.,..,..,..,..,..,..,.,..,.,..,..,5,..,..,..,.,5,..,..,..,..,..,..,5,6,..,..,6,..,..,..,..,..,..
איב,687,.,..,.,.,.,.,.,.,..,..,.,.,..,..,.,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,..,..,.,..,..,..,..,..,5,8,6,8,5,8,9,12,9,12,13,12,19,..,10,9,10,6,..,5,5,9,6,8,12,16,11,33,52,49,76,76,110
איבון,194,.,.,..,5,..,10,..,..,..,..,9,5,7,..,..,7,6,5,..,..,7,..,..,..,..,5,6,..,8,..,..,.,..,..,..,..,..,..,..,..,..,.,..,..,..,..,..,..,..,..,..,..,.,..,..,..,.,.,..,.,..,.,..,.,.,..,..,.,.,.,..,.,.,.
אידה,423,..,13,7,17,13,15,13,16,8,10,6,19,11,6,14,6,..,..,11,9,10,12,7,..,7,8,7,8,8,10,8,..,8,..,..,..,..,..,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,..,.,..,..,..,..,..,..,..,.,..,..,..
אידית,269,..,.,.,..,..,..,.,..,..,..,..,..,..,..,.,..,7,5,..,..,5,..,..,11,16,12,15,12,14,17,14,9,12,6,10,9,9,..,10,..,5,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,..,.,.,..,.,..,.,.,..,.,.,..,.
אידל,177,.,..,.,.,.,.,..,.,..,..,..,.,.,.,.,.,..,.,..,.,.,.,..,..,..,.,.,..,.,..,.,..,..,..,..,..,..,6,..,..,..,..,..,..,..,..,..,..,5,..,6,..,..,.,.,..,8,8,..,..,..,5,..,5,6,6,..,..,..,..,6,5,..,6
איה,"3,020",9,11,6,8,14,11,7,9,5,8,7,9,8,7,9,14,6,7,11,19,13,12,10,16,22,31,34,37,39,57,34,48,51,48,48,50,33,49,42,30,40,28,26,31,16,20,27,16,20,43,38,33,38,39,78,88,106,88,119,104,120,132,107,109,95,72,81,71,76,70,37,37,21,41
איזבל,238,.,.,.,.,..,.,.,..,.,..,.,..,.,.,..,..,.,..,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,.,..,..,.,..,..,..,..,.,..,..,..,..,..,6,5,9,11,10,10,7,..,13,6,..,6,10,9,..,8,..,13,5,..,..,7,11,..,.,5,..
איזבלה,100,.,.,.,..,.,.,.,.,.,.,.,.,..,.,.,.,.,..,.,.,.,.,.,.,.,..,..,.,.,..,.,..,..,..,.,.,.,..,..,..,.,.,..,..,.,..,..,..,..,..,..,..,..,..,..,..,..,.,..,..,5,..,..,..,..,..,..,..,..,..,..,..,..,..
איטא,214,..,.,..,.,..,.,.,..,..,.,.,.,.,.,..,.,.,.,.,..,.,..,.,..,.,..,.,..,.,..,..,..,..,..,..,.,..,.,..,..,..,..,..,.,..,.,5,..,..,..,..,..,..,..,6,5,..,..,10,..,6,11,9,..,9,7,7,12,6,7,10,14,11,17
איטה,"1,182",13,16,30,24,21,21,11,12,6,10,11,8,14,..,12,11,8,7,6,6,..,9,7,11,10,9,8,10,12,12,8,14,7,13,8,11,6,19,12,13,14,9,15,7,11,10,11,6,13,15,13,19,15,13,21,21,24,14,19,18,21,17,26,24,29,28,26,37,32,16,25,27,34,41
איטל,150,.,.,..,..,.,.,.,.,.,.,.,..,.,.,.,..,..,..,..,.,.,5,..,.,..,..,..,..,..,..,..,5,7,..,..,..,..,..,..,..,..,..,..,.,..,..,..,..,..,.,7,..,13,7,6,..,..,..,5,7,..,..,.,.,..,..,.,.,.,..,..,.,..,.
איידי,163,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,.,.,.,.,..,.,.,.,.,..,..,..,.,.,..,..,..,..,..,..,..,5,..,..,..,..,5,9,7,6,7,..,8,8,7,..,12,6,12,11,5,5,7
איידל,589,.,.,.,.,.,.,.,..,..,..,.,..,.,..,..,.,.,..,.,..,..,..,..,..,..,..,..,..,..,.,..,.,..,..,.,..,..,..,..,7,6,6,7,..,7,6,6,8,14,13,9,6,10,12,13,12,19,21,16,20,9,21,15,24,15,17,26,25,24,31,27,26,36,33
אייל,99,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,.,.,.,..,.,..,..,..,.,.,..,.,..,..,..,.,.,..,.,.,..,.,..,.,.,5,..,..,..,5,..,..,..,..,..,6,..,..,..,..,5,..,..,..,..,..,..,.,..,..
איילה,"21,579",31,56,53,75,71,76,59,85,77,106,107,118,136,122,148,169,167,150,157,155,148,158,149,131,109,98,107,87,87,93,83,100,97,99,102,127,112,114,95,107,90,110,83,102,94,118,103,117,111,143,140,165,186,240,315,326,331,379,403,456,466,556,742,788,875,899,988,"1,099","1,018","1,130","1,154","1,107","1,049","1,074"
איילי,51,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,..,.,..,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,..,..,..,..,..,..,..,..,..,..,5,..,.,..,6,..,5,6
איילין,195,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,..,..,..,.,..,.,..,.,.,.,..,..,.,.,.,..,..,..,..,..,..,..,..,.,..,5,.,..,..,..,..,..,..,.,6,..,..,..,..,.,7,..,..,5,6,..,6,5,9,8,7,5,8,11,11,8,19
איילת,"6,825",.,.,..,..,.,..,..,..,..,7,5,17,8,18,22,31,46,58,76,107,112,157,174,220,203,224,236,254,255,220,189,171,180,163,146,150,143,139,131,117,93,98,74,81,83,94,67,58,57,48,64,66,60,69,64,75,83,87,88,77,103,102,92,101,123,97,107,101,89,92,93,81,82,77
"איילת
השחר",627,.,.,.,.,.,..,.,.,..,.,..,..,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,..,..,..,..,7,..,5,6,7,6,6,5,5,8,6,7,5,13,8,5,10,9,13,17,23,16,17,25,24,15,25,26,19,36,17,16,26,17,28,23,21,18,13,14
איימי,964,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,.,.,..,.,..,..,.,..,..,..,..,..,..,.,.,.,..,..,..,.,5,..,..,..,5,..,6,5,..,6,..,8,5,..,..,..,..,..,7,10,17,21,26,24,31,40,47,70,73,99,129,136,135
אייר,432,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,.,..,..,.,.,.,.,.,6,.,.,.,..,9,..,..,..,..,..,7,..,12,6,..,7,5,..,6,5,..,8,6,7,6,11,16,7,6,11,11,17,16,22,30,31,60,66
אילאיל,201,.,.,.,..,.,.,..,..,.,..,.,..,.,..,.,.,.,..,.,.,..,..,.,5,..,..,..,5,..,..,8,9,9,7,6,8,6,..,..,..,..,6,..,..,..,..,.,..,..,..,..,..,..,..,..,.,..,..,6,..,..,..,..,..,6,6,6,9,..,..,..,..,..,..
אילון,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,.,.,.,..,.,..,..,.,.,..,..,.,.,.,.,..,.,..,.,..,.,.,.,..,5,.,6,7,..,..,..,..
אילונה,224,..,..,..,.,..,..,..,..,.,.,..,..,..,..,.,..,.,.,..,..,..,..,..,..,..,..,.,..,7,..,..,..,.,..,..,..,..,.,..,..,..,6,..,9,5,18,12,11,8,9,6,5,8,5,..,..,5,..,..,..,..,..,.,..,..,.,..,..,..,..,..,.,..,.
אילור,117,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,.,..,..,.,.,.,.,.,..,..,.,..,..,11,6,..,..,.,6,..,.,..,..,..,.,..,..,..,..,..,..,..,..,..,5,5,9,9,10,8,10
אילי,362,.,.,..,.,..,.,.,..,.,.,..,.,..,..,..,..,..,.,..,..,..,..,..,5,6,..,..,..,6,..,..,..,.,..,..,..,..,.,..,..,.,..,.,..,.,..,..,..,..,..,7,12,10,12,19,20,19,17,16,14,20,13,7,13,10,9,..,10,7,12,7,..,10,7
איליי,192,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,..,.,5,..,5,9,14,20,26,18,18,24,11,5,5,..,..,5,..,..,..,..,..,..,.,..,.
אילן,84,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,..,.,..,..,..,.,.,..,.,.,..,.,..,.,.,.,.,..,..,..,.,.,.,..,..,.,.,..,..,..,.,..,.,.,..,..,.,.,..,.,..,..,..,.,..,..,..,..,..,5,..,8,8,9
אילנה,"11,054",115,157,202,268,300,325,358,430,467,477,466,511,492,390,433,394,371,361,320,254,203,188,144,105,110,77,87,105,118,93,76,78,69,47,43,42,26,26,26,28,20,22,29,73,80,70,76,84,73,75,59,43,39,30,31,20,24,25,23,16,13,15,14,20,9,11,8,6,14,13,8,7,9,7
אילנית,"4,710",.,.,..,..,..,..,..,..,..,..,6,5,6,6,..,..,5,..,17,55,71,205,442,667,561,594,397,288,239,180,121,92,68,60,55,54,34,36,34,22,14,20,14,18,24,23,32,23,19,25,11,18,14,6,19,8,9,8,8,6,8,..,5,..,..,..,..,..,..,..,..,.,..,..
אילת,"4,103",6,38,10,12,11,7,6,22,24,25,24,31,36,36,61,73,85,89,122,176,166,144,143,168,169,106,134,119,119,102,76,75,63,63,55,58,46,34,43,41,38,40,34,39,34,25,24,21,25,26,21,28,35,33,39,39,47,44,49,43,46,33,47,45,43,36,40,35,31,39,44,52,41,41
אימבר,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,..,..,.,..,.,.,.,..,.,..,.,..,..,..,.,..,..,..,5,..,..,..,.,..,..,..,..,..,6,..,..,..,.,..,..,..,..,..,..,..,..,.,.,..
אימרי,136,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,..,.,.,.,.,..,..,..,..,..,..,..,..,..,..,7,11,6,16,18,14,14,18,10
אינס,141,.,..,..,7,10,8,..,..,6,8,..,..,..,7,5,..,..,..,..,.,.,..,.,..,.,..,..,.,..,..,..,.,..,..,..,..,..,..,..,..,..,..,..,.,.,.,..,..,..,.,..,..,..,..,..,..,..,.,..,..,.,.,..,.,.,..,.,..,..,.,.,.,.,..
איריס,"9,518",14,23,50,64,56,65,86,70,86,108,130,145,190,244,276,307,442,600,679,605,778,749,595,500,344,309,255,209,147,122,119,87,63,73,61,61,52,44,45,50,31,37,25,28,25,27,29,34,15,26,26,13,22,15,25,24,21,18,13,17,16,15,9,6,7,..,10,7,..,7,8,..,..,..
אירית,"4,535",38,76,112,118,119,124,90,109,109,128,128,149,152,163,163,175,198,169,165,149,176,136,167,125,103,104,115,114,71,62,70,59,61,35,47,27,47,26,26,27,25,17,14,11,14,14,10,13,13,5,8,8,9,8,7,5,.,..,..,..,..,.,5,..,..,..,..,.,..,.,.,.,..,.
אירן,172,.,.,.,..,..,..,.,..,..,..,..,..,.,..,..,..,..,5,..,..,..,.,..,..,..,..,..,..,6,..,8,..,..,5,..,..,..,..,6,..,..,8,6,..,..,..,..,..,5,5,..,..,..,..,..,5,..,..,..,..,..,..,.,..,..,..,..,..,.,.,.,.,..,.
איתי,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,.,..,..,..,.,.,..,..,..,.,..,.,..,..,.,.,..,..,.,..,.,.,..,..,..,..,..,..,..,8,5,..,5,..,..,6,..,..,7,..,..,..,..,..,..,.,..,.,.,.,..,..,.,.
איתנה,107,..,..,..,..,.,..,..,6,..,..,..,6,..,.,..,..,.,..,..,..,6,..,..,..,.,..,..,.,..,..,.,.,..,.,.,..,..,..,..,..,..,..,..,..,..,.,.,..,.,.,..,.,.,.,.,.,.,..,.,..,..,..,..,..,..,..,.,..,..,.,..,.,.,..
אל,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,..,.,.,.,.,.,..,.,.,.,.,.,.,.,.,..,.,..,..,..,..,..,..,..,..,..,.,..,..,..,..,..,.,.,.,..,..,..,.,..,.,..,..,.,.,..,..,8,..,6,..
אלבי,32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,..,.,..,.,.,.,.,..,..,..,..,8,8
אלגרה,102,..,..,8,..,..,..,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,5,..,..,..,..,.,..,.,.,..,..,..,..,..,..,..,.,..,.,..,..,.,.,.,.,.,..,.,.,.,..,.,.,.,..,.,.,..,.,.,.,..,.,.,..,.,.,..,.,.,.,.
אלגריה,61,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,.,..,5,..,..,..,..,..,..,..,..,.,..,..,..,..,.,..,..,..,.,..,..,.,.,..,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
אלדנה,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,5
אלדר,77,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,..,.,.,..,..,..,.,..,.,..,..,.,..,..,..,..,..,..,..,..,.,..,..,..,.,..,..,..,..,..,..,..,..,..,..,5,..,..,..,6,..,.,..,..,..
אלה,"14,707",11,17,17,18,16,20,23,18,17,21,17,16,18,19,13,22,30,25,28,30,40,36,30,48,48,46,46,71,65,59,65,57,90,76,67,78,98,115,104,120,115,134,113,107,91,113,77,79,108,102,111,98,140,128,173,236,301,326,388,425,508,598,605,731,750,698,694,654,696,689,685,672,766,782
אלה-לי,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,.,..,.,6,..
אלהיה,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,.,..,.,.,..,..,.,.,5,..
אלומה,659,.,..,.,..,..,..,.,..,.,.,..,.,.,.,..,..,.,.,..,..,..,..,..,.,.,..,..,5,..,..,6,..,6,..,..,6,..,10,9,10,7,10,16,5,12,5,6,..,5,5,..,12,..,5,8,6,9,11,10,12,12,11,17,26,25,29,26,31,33,40,33,36,47,43
אלון,63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,..,..,..,6,..,.,.,..,..,..,..,..,..,..,..,.,..,.,..,.,..,5,..,..,7,7
אלונה,"3,277",..,..,..,5,5,..,8,7,13,11,7,13,9,18,18,28,29,37,34,34,70,61,76,77,60,42,50,51,44,35,23,23,12,19,20,14,13,21,18,48,61,33,24,44,37,25,27,37,31,37,28,29,25,23,31,27,45,41,72,62,72,73,105,99,94,126,165,137,135,126,86,83,65,76
אלונית,27,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,..,..,..,..,..,.,5,..,..,.,..,..,..,.,.,..,.,.,..,.,.,.,..,.,..,.,..,.,..,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
אלזה,58,.,.,..,.,..,..,.,..,.,..,.,.,.,.,..,..,..,.,.,.,..,..,..,..,..,.,..,.,..,.,.,..,.,.,.,.,.,.,..,.,.,.,..,..,.,..,.,..,.,..,..,.,.,.,.,..,.,.,..,..,..,.,..,..,..,..,..,5,..,..,..,.,.,..
אלטא,103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,.,..,..,.,.,.,.,..,..,.,..,.,.,..,.,.,.,.,..,..,.,..,..,..,..,..,.,..,..,..,..,..,.,..,..,..,..,..,5,7,..,..,..,..,11,7,..,7
אלטע,462,.,.,.,.,.,..,.,.,..,.,.,.,..,..,.,..,..,..,.,..,..,.,..,..,..,.,.,..,.,.,.,..,.,..,..,..,..,..,..,..,5,5,6,..,11,..,7,9,12,10,10,8,8,5,6,9,11,13,10,10,8,11,15,18,23,10,23,31,27,10,31,26,12,17
אלי,"1,479",..,..,.,..,.,.,.,.,..,.,..,.,.,.,.,..,..,..,.,..,.,..,..,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,..,..,..,7,6,13,5,6,7,..,10,9,11,17,12,14,15,18,14,29,27,39,43,55,54,55,83,54,86,92,129,134,169,192
אליאור,274,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,5,6,..,..,6,7,8,12,9,10,14,6,7,6,7,6,8,7,12,13,10,10,9,..,8,6,6,5,6,..,6,5,..,5,..
אליאן,"1,866",.,..,.,..,.,..,.,..,.,..,..,..,.,..,..,..,..,..,..,.,..,.,..,..,.,.,..,..,6,..,..,5,..,..,..,6,..,8,10,11,10,5,6,10,7,8,9,6,8,10,9,..,9,11,7,9,75,110,75,84,90,96,107,93,100,87,110,116,97,83,95,72,83,68
אליאנה,340,.,.,.,.,.,.,..,..,.,.,..,.,.,.,..,..,..,..,.,.,..,..,..,..,.,.,..,..,..,..,..,..,..,.,..,.,.,..,..,..,..,.,..,..,..,..,..,..,..,..,..,..,..,..,.,..,..,..,6,6,8,11,9,14,12,9,14,24,18,26,24,26,29,38
אליה,"5,882",..,..,..,6,7,6,5,..,..,..,5,12,5,..,..,6,..,..,5,.,..,..,6,8,..,8,6,13,11,9,9,10,15,9,12,17,18,20,28,29,30,37,45,41,53,49,48,53,60,63,65,65,85,84,114,95,123,195,208,250,274,290,285,331,290,293,254,295,283,246,265,228,248,200
אליז,117,.,.,.,..,.,.,.,.,.,.,..,..,..,.,..,..,..,..,..,..,5,..,..,..,..,..,5,..,.,..,8,..,..,5,..,5,..,..,.,..,..,..,..,..,..,..,..,.,..,.,.,..,..,..,.,..,..,..,.,..,.,..,..,..,.,..,..,..,.,..,.,..,.,..
אליזבט,715,.,..,.,..,6,..,..,..,..,.,..,5,..,..,..,..,9,6,8,5,5,..,..,..,..,8,6,8,8,11,..,7,10,..,..,..,..,.,..,..,..,..,..,9,11,8,6,15,23,19,36,14,25,24,25,36,18,21,23,24,16,21,24,13,25,21,19,10,12,11,11,7,10,7
אליזבטה,52,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,..,.,.
אליזה,134,..,..,.,.,..,..,.,..,..,..,..,..,..,..,..,..,..,..,..,5,..,..,..,..,.,..,..,..,..,..,..,..,..,..,..,.,..,.,..,.,.,.,..,.,6,6,.,..,..,6,..,..,.,..,..,..,..,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,..
אלין,"3,577",.,.,..,.,.,..,..,.,..,..,5,..,..,.,.,..,..,..,7,15,7,13,12,10,7,13,13,16,12,10,10,9,6,13,13,11,14,12,25,18,18,24,21,20,19,18,13,36,16,30,19,24,43,31,19,34,26,35,47,77,111,110,168,212,296,312,256,219,217,162,182,173,170,131
אלינה,605,.,..,.,.,.,..,..,.,..,.,..,.,..,..,.,..,.,..,..,..,..,.,.,.,..,..,.,..,.,..,..,..,..,..,..,.,..,..,..,.,.,..,..,8,9,18,17,17,27,20,20,31,27,21,26,30,22,28,28,16,24,20,20,24,18,14,13,10,9,11,9,5,10,5
אלינוי,528,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,.,.,.,..,..,.,..,..,.,.,..,..,.,.,..,..,..,5,..,7,11,13,7,14,16,14,11,8,18,16,9,18,15,17,14,15,24,28,26,25,17,23,22,15,15,17,21,17,18,14
אלינור,"4,513",..,..,.,.,..,..,..,.,..,..,..,..,..,..,..,..,5,..,7,..,..,8,12,12,37,47,78,55,89,101,109,113,180,405,173,188,154,152,129,92,83,96,77,104,98,83,104,72,78,71,74,80,53,77,59,60,52,49,72,56,65,49,50,59,79,71,69,69,53,61,59,58,38,44
אליס,"1,400",.,.,..,..,5,6,..,6,16,5,14,14,10,11,10,14,15,32,21,17,37,24,27,25,21,14,21,17,23,24,19,16,25,18,20,23,14,14,14,14,15,14,14,16,11,11,13,14,19,22,26,13,19,23,27,36,21,23,33,27,32,19,23,27,31,25,31,28,37,22,30,27,22,31
אליסה,576,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,..,.,.,..,.,.,..,..,..,..,..,.,..,5,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,11,8,15,11,16,16,12,20,12,24,21,26,18,24,22,21,27,34,21,19,27,23,24,20,15,14,16
אליסיה,91,.,.,.,.,.,.,.,..,.,.,.,..,.,.,..,..,..,..,..,.,..,.,.,..,.,.,.,.,.,.,.,..,.,.,..,..,..,.,..,.,.,..,.,.,..,..,.,..,.,..,..,..,..,..,..,..,..,..,..,..,6,..,..,..,..,..,.,..,..,..,9,..,..,..
אליענה,907,.,..,..,..,..,.,.,..,..,.,.,.,.,.,..,.,..,..,..,.,.,5,..,..,..,.,..,..,..,..,.,..,..,..,..,..,..,7,..,..,10,6,..,7,7,8,12,7,5,7,5,10,10,..,12,19,10,16,34,26,25,28,27,30,34,38,45,54,57,46,51,65,66,61
אלירז,286,.,.,.,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,..,..,..,..,..,7,..,7,..,5,9,.,..,7,5,5,5,..,..,6,6,5,9,8,7,8,9,8,..,6,6,6,..,8,6,..,..,..,..,5,6,7,5,5,15,5,7,9,6,11
אלישבע,"7,697",13,13,21,9,11,20,12,20,27,22,16,20,25,22,15,27,20,16,15,16,15,17,22,20,18,21,20,22,21,16,21,33,35,33,33,37,38,54,58,54,55,64,71,92,79,107,104,82,104,90,101,92,124,138,123,123,153,158,177,209,269,224,254,225,263,283,293,368,348,358,370,370,334,407
אלית,179,.,.,..,.,..,..,..,.,..,.,..,..,.,..,.,..,..,.,..,..,..,..,5,5,..,..,..,6,5,..,7,6,8,..,..,..,..,.,..,..,..,..,..,..,..,..,..,5,..,..,5,5,..,..,..,8,..,6,..,..,.,..,..,5,.,..,.,..,..,..,..,.,.,.
אלכס,789,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,.,.,.,.,.,.,.,.,..,..,.,.,.,..,.,.,.,..,.,.,.,.,.,.,..,.,..,..,..,..,..,..,.,..,5,6,5,5,11,10,6,9,12,19,23,33,35,49,56,78,70,74,85,85,84
אלכסה,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,..,.,.,..,.,.,.,.,.,..,.,.,..,.,..,.,..,..,.,..,..,.,..,..,.,..,..,5,..,5,8,5,6,6,..
אלכסנדרה,589,.,.,..,..,..,..,..,.,..,..,.,..,..,.,..,..,.,.,..,..,..,..,..,5,..,..,..,6,..,..,..,..,..,..,.,.,..,6,5,8,7,6,6,13,10,10,..,11,10,13,18,18,14,11,18,22,17,16,27,11,18,18,17,21,16,14,24,20,22,16,12,12,11,14
אלמה,"2,985",..,.,.,.,..,.,..,.,..,..,.,.,.,..,.,.,..,.,.,..,..,.,.,.,.,.,.,.,..,.,..,..,6,..,..,.,..,..,..,..,.,..,..,..,..,..,6,..,7,..,..,5,5,5,7,15,21,19,27,37,39,44,54,84,125,161,175,225,235,284,325,323,320,389
אלמוג,"2,797",.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,.,..,..,..,.,..,.,..,..,..,..,5,..,6,..,..,7,5,8,14,21,20,27,35,38,58,87,122,122,135,154,142,138,136,128,103,103,80,102,56,78,58,59,57,52,64,41,46,46,51,58,51,51,47,60,39,64
אלמוגית,46,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,.,.,.,..,.,..,..,..,..,..,..,5,..,..,..,.,..,.,..,..,..,..,.,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
אלמז,139,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,.,..,..,..,..,..,.,.,..,.,..,6,..,..,..,..,..,5,..,..,..,..,11,6,..,11,5,6,7,5,7,..,11,9,6,10
אלן,215,.,.,.,6,..,..,..,..,..,..,..,..,..,..,..,5,..,..,..,5,..,5,..,..,..,6,..,..,5,..,..,..,6,..,..,.,..,..,..,..,..,..,..,..,..,..,..,6,5,6,..,..,..,..,9,9,..,..,..,..,..,5,..,..,6,7,..,.,..,..,..,..,..,..
אלנה,92,..,..,..,..,..,..,..,..,..,6,..,.,5,..,.,..,.,.,.,.,..,.,..,.,.,.,..,..,..,..,..,.,.,..,.,.,..,..,..,.,..,.,.,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,..,..,..,.,..,..,..,..,.,..,..,..,..,..,.,.
אלני,58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,..,.,.,.,.,.,..,..,.,.,.,.,..,..,..,..,..,..,.,.,..,..,..,..,..,12,18
